id,nama,lat,lon,is_depot
0,TPA Jatibarang,-7.021579,110.3583421,1
1,99 KOMPUTER NGALIYAN (Servis laptop dan jual beli),-6.9924265,110.3519961,0
2,abdie service elektronic,-6.9739414,110.4175162,0
3,Adzan Elektronik,-6.9975363,110.3730691,0
4,"AHA CELL (service, hardware & software)",-6.98191,110.479201,0
5,AK teknik - service elektronik & AC,-7.0445118,110.3942507,0
6,Alfacell Service Hp,-6.9820978,110.3940594,0
7,ALL REPAIR HP SEMARANG BARAT,-6.9818223,110.3674599,0
8,ANDI CELL SERVIS HP SEMARANG BARAT KARANGAYU,-6.9826405,110.3863185,0
9,Andphone servis android dan iphone,-6.9772386,110.4706375,0
10,Androfix Service HP Hardware Software Semarang,-6.9790946,110.4003983,0
11,"Aren Jaya AC Gunung Pati - Service AC,Kulkas,Mesin Cuci Panggilan Semarang Ungaran",-7.0844298,110.3874359,0
12,Arjuna service,-6.9826633,110.4316886,0
13,Aset Comp (Servis Laptop Semarang),-6.9930556,110.3567822,0
14,Atlanta Electronics Ngesrep,-7.0506049,110.4244445,0
15,Awan TV | Spesialis TV LED Jawa Tengah,-6.9952652,110.4732106,0
16,Baari Electronics Service,-7.0618468,110.4445484,0
17,BARATA TEKNIK,-7.0243475,110.476455,0
18,Basscom laptop Service,-6.987955,110.3592424,0
19,Bintang Elektronik Service,-7.0789369,110.4181174,0
20,Cahaya Perkasa Computer,-7.0472932,110.3126486,0
21,CAHAYA SERVICE,-7.0747715,110.4194718,0
22,Carlcare Service (Infinix-TECNO-itel) Semarang,-6.98568,110.4227856,0
23,Clinic Ponsel (Service Hp),-7.0638492,110.3960551,0
24,Coocaa Service Centre,-6.9861423,110.3923734,0
25,Cosmos Service Center Semarang,-6.9926715,110.366396,0
26,Dewa Komunika - Pusat Service HP,-6.9839838,110.3698862,0
27,Dicell Service Hp,-6.9837958,110.4066385,0
28,Dokter phone servis hp,-6.9862875,110.3881248,0
29,Eagle Service Center/ESC,-6.9683555,110.3981942,0
30,ELS Computer Semarang (ELS.ID),-6.9835783,110.4173793,0
31,EPS SERVICE HP,-6.986086,110.3902021,0
32,Fikom Service Laptop dan Hp,-6.9692753,110.2992829,0
33,"FIXIT Indonesia - Service & Jual Beli Laptop, Handphone, PC & Printer Semarang",-7.0518335,110.3950748,0
34,FURODA CELL Service HP & Laptop | Service HP | Service Laptop | Service Terdekat | Unnes | Patemon | Gunungpati | Semarang,-7.0677804,110.3976368,0
35,Gadget Center REPAIR,-6.985752,110.4434261,0
36,"GARASI TV(spesialist perbaikan tv lcd,led,plasma,oled)",-6.9877903,110.4481291,0
37,GeniusComp,-6.9976569,110.355762,0
38,Gino Service Tv.kulkas,-6.9699895,110.4445388,0
39,Glory Computer (Pusat Servis Laptop & PC),-7.0685173,110.3113693,0
40,Golden Service (Service Laptop & HP),-7.0533774,110.4357877,0
41,GRIYA SERVICE ELECTRONIK,-7.0072359,110.3903635,0
42,Hartono Elektrik 2,-7.0119214,110.4792134,0
43,Hartono Servis,-7.0025381,110.4346223,0
44,Hepilepi Computer,-7.0685214,110.4265683,0
45,HP SERVICE CENTER SEMARANG - Operated by PT HPS,-6.9840257,110.4309192,0
46,iPhone Service Solution - Service Iphone Semarang,-6.9798945,110.3909365,0
47,iRoom Service Apple Repair iPhone iPad iPod iWatch Airpods Macbook Semarang,-7.0591444,110.4279452,0
48,iRoom Service Pedurungan Semarang,-6.9845879,110.4539446,0
49,IT Com Service HP,-6.9755773,110.4361251,0
50,JPC Service Laptop Gunungpati,-7.0666877,110.3664153,0
51,"Jual beli servis kulkas,frizer,shocese",-6.9867015,110.4441249,0
52,JULIED PART SPAREPART HP & ACC TERLENGKAP (SERVICE HP),-7.0801192,110.308829,0
53,KangService.id (Service LAPTOP & HP Murah Cepat Berkualitas) Legendaris Semarang,-7.0529584,110.4358812,0
54,Kartika Service HP dan Sparepart HP,-6.9903576,110.4249202,0
55,KingsJE Management,-6.9736083,110.4054871,0
56,KLA Computer Ngaliyan,-7.0102081,110.3379125,0
57,KLA Service Center Semarang,-6.9841734,110.4308356,0
58,KMGS Komputer ( Service Laptop dan komputer ) Gestun Dan Gadai Laptop HP,-7.0524845,110.3978323,0
59,KOKO LAPTOP (ZONA SERVICE LAPTOP & PC SEMARANG),-7.003516,110.3869716,0
60,Kusuma Computer,-6.9774944,110.4786973,0
61,M 2 Cellular,-7.0968832,110.331196,0
62,Macbook Semarang - Apple Store & Service,-7.0524518,110.4277682,0
63,MACREPAIR | Service Macbook Semarang,-7.0555628,110.4295441,0
64,Magic Service Banyumanik - Pusat Reparasi Handphone & Laptop,-7.0644424,110.4165375,0
65,Mandiri Jaya Teknik,-7.0077359,110.4401898,0
66,Mediatech Service HP,-6.9871342,110.3804223,0
67,Merpati Elektronik,-7.0264938,110.4938051,0
68,Mitra Komunika ( Specialist Service ),-6.9841606,110.3975977,0
69,mQcell Service HP,-6.9926374,110.4470683,0
70,NA Computer (Service & jual beli laptop),-7.0617603,110.3970231,0
71,NADHIRA KOMPUTER(service laptop dan komputer),-7.0552466,110.3034443,0
72,ND Tech Service Genuk | HP | Android | Laptop | Komputer,-6.9729401,110.4959189,0
73,ND Tech Service Pedurungan | HP | Android | Laptop | Komputer,-6.9790519,110.4689817,0
74,Nusantara Komputer Tembalang,-7.0580433,110.4351914,0
75,Panasonic Gobel Indonesia Service Center Semarang,-6.9802973,110.4036163,0
