id,nama,lat,lon,is_depot,kecamatan
0,TPA Jatibarang,-7.021579,110.3583421,1,Depot
1,99 Komputer,-6.9924265,110.3519961,0,Ngaliyan
2,Abdie Service,-6.9739414,110.4175162,0,Semarang Tengah
3,Adzan Elektronik,-6.9975363,110.3730691,0,Semarang Barat
4,AHA Cell,-6.98191,110.479201,0,Genuk
5,AK Teknik,-7.0445118,110.3942507,0,Gunungpati
6,Alfacell Service,-6.9820978,110.3940594,0,Semarang Barat
7,ALL Repair HP,-6.9818223,110.3674599,0,Semarang Barat
8,Andi Servis,-6.9826405,110.3863185,0,Semarang Barat
9,Andphone Servis,-6.9772386,110.4706375,0,Genuk
10,Androfix Service,-6.9790946,110.4003983,0,Semarang Barat
11,Aren Jaya,-7.0844298,110.3874359,0,Gunungpati
12,Arjuna Service,-6.9826633,110.4316886,0,Semarang Tengah
13,Aset Comp,-6.9930556,110.3567822,0,Ngaliyan
14,Atlanta Electronics,-7.0506049,110.4244445,0,Banyumanik
15,Awan TV,-6.9952652,110.4732106,0,Pedurungan
16,Baari Electronics Service,-7.0618468,110.4445484,0,Tembalang
17,Barata Teknik,-7.0243475,110.476455,0,Tembalang
18,Basscom Laptop Service,-6.987955,110.3592424,0,Ngaliyan
19,Bintang Elektronik Service,-7.0789369,110.4181174,0,Banyumanik
20,Cahaya Perkasa Computer,-7.0472932,110.3126486,0,Mijen
21,Cahaya Service,-7.0747715,110.4194718,0,Banyumanik
22,Carlcare Service,-6.98568,110.4227856,0,Semarang Tengah
23,Clinic Ponsel,-7.0638492,110.3960551,0,Gunungpati
24,Coocaa Service Centre,-6.9861423,110.3923734,0,Semarang Barat
25,Cosmos Service Center,-6.9926715,110.366396,0,Ngaliyan
26,Dewa Komunika,-6.9839838,110.3698862,0,Semarang Barat
27,Dicell Service HP,-6.9837958,110.4066385,0,Semarang Selatan
28,Dokter Phone Servis HP,-6.9862875,110.3881248,0,Semarang Barat
29,Eagle Service Center/ESC,-6.9683555,110.3981942,0,Semarang Barat
30,ELS Computer Semarang (ELS.ID),-6.9835783,110.4173793,0,Semarang Tengah
31,EPS Service HP,-6.986086,110.3902021,0,Semarang Barat
32,Fikom Service,-6.9692753,110.2992829,0,Tugu
33,Fixit Indonesia,-7.0518335,110.3950748,0,Gunungpati
34,Furoda Cell Service,-7.0677804,110.3976368,0,Gunungpati
35,Gadget Center Repair,-6.985752,110.4434261,0,Gayamsari
36,Garasi TV,-6.9877903,110.4481291,0,Gayamsari
37,GeniusComp,-6.9976569,110.355762,0,Ngaliyan
38,Gino Service,-6.9699895,110.4445388,0,Gayamsari
39,Glory Computer,-7.0685173,110.3113693,0,Mijen
40,Golden Service,-7.0533774,110.4357877,0,Tembalang
41,Griya Service,-7.0072359,110.3903635,0,Gajahmungkur
42,Hartono Elektrik 2,-7.0119214,110.4792134,0,Pedurungan
43,Hartono Servis,-7.0025381,110.4346223,0,Semarang Selatan
44,Hepilepi Computer,-7.0685214,110.4265683,0,Banyumanik
45,HP Service Center,-6.9840257,110.4309192,0,Semarang Tengah
46,iPhone Service Solution,-6.9798945,110.3909365,0,Semarang Barat
47,iRoom Service,-7.0591444,110.4279452,0,Banyumanik
48,iRoom Service,-6.9845879,110.4539446,0,Pedurungan
49,IT Com Service HP,-6.9755773,110.4361251,0,Semarang Timur
50,JPC Service Laptop,-7.0666877,110.3664153,0,Gunungpati
51,Jual Beli Servis Kulkas, Frizer, Shocese,-6.9867015,110.4441249,0,Gayamsari
52,Julied Part,-7.0801192,110.308829,0,Mijen
53,KangService.id,-7.0529584,110.4358812,0,Tembalang
54,Kartika Service HP,-6.9903576,110.4249202,0,Semarang Tengah
55,KingsJE Management,-6.9736083,110.4054871,0,Semarang Utara
56,KLA Computer,-7.0102081,110.3379125,0,Ngaliyan
57,KLA Service Center,-6.9841734,110.4308356,0,Semarang Tengah
58,KMGS Komputer,-7.0524845,110.3978323,0,Gunungpati
59,Koko Laptop,-7.003516,110.3869716,0,Manyaran
60,Kusuma Computer,-6.9774944,110.4786973,0,Genuk
61,M 2 Cellular,-7.0968832,110.331196,0,Mijen
62,Macbook Semarang,-7.0524518,110.4277682,0,Banyumanik
63,MACREPAIR Service Macbook Semarang,-7.0555628,110.4295441,0,Banyumanik
64,Magic Service,-7.0644424,110.4165375,0,Banyumanik
65,Mandiri Jaya Teknik,-7.0077359,110.4401898,0,Semarang Selatan
66,Mediatech Service HP,-6.9871342,110.3804223,0,Semarang Barat
67,Merpati Elektronik,-7.0264938,110.4938051,0,Pedurungan
68,Mitra Komunika,-6.9841606,110.3975977,0,Semarang Barat
69,mQcell Service HP,-6.9926374,110.4470683,0,Gayamsari
70,NA Computer,-7.0617603,110.3970231,0,Gunungpati
71,Nadhira Komputer,-7.0552466,110.3034443,0,Mijen
72,ND Tech Service,-6.9729401,110.4959189,0,Genuk
73,ND Tech Service,-6.9790519,110.4689817,0,Pedurungan
74,Nusantara Komputer,-7.0580433,110.4351914,0,Tembalang
75,Panasonic Gobel Indonesia Service Center,-6.9802973,110.4036163,0,Semarang Tengah
76,PCC Solution,-7.0524876,110.4356138,0,Tembalang
77,PT. Adi Jaya Berguna,-7.0665613,110.3076103,0,Mijen
78,Pusat Service iphone,-6.9829002,110.3244928,0,Ngaliyan
79,KM Computer,-7.0627756,110.4423115,0,Tembalang
80,Ramecell Service HP,-6.989419,110.4040201,0,Semarang Selatan
81,Rasyita Phone,-7.0128228,110.4483308,0,Tembalang
82,Rifqi Servis Elektronik,-7.0119375,110.4054375,0,Gajahmungkur
83,RS Service,-6.9814733,110.473694,0,Genuk
84,Rumah Retrofit,-7.0340745,110.3421938,0,Mijen
85,Rumahreparasi Mzbeck,-7.0698137,110.3072214,0,Mijen
86,Saiyo Cell,-6.9779314,110.390766,0,Semarang Barat
87,Samsung Service Center,-6.9936755,110.4307793,0,Semarang Tengah
88,Service AC,-6.9575349,110.4103376,0,Semarang Utara
89,Service Center Handphone Laptop Printer,-7.0049676,110.4288621,0,Semarang Selatan
90,Service Center Sanken,-7.0001454,110.3902874,0,Semarang Barat
91,Service Connection,-6.9690999,110.4116795,0,Semarang Utara
92,Service Dispenser Kulkas Water Hiater,-7.0482741,110.4188145,0,Banyumanik
93,Electrolux,-7.0152056,110.4623023,0,Tembalang
94,Mulia Bima,-7.0261755,110.4678957,0,Tembalang
95,Service HP Gisikdrono,-6.9972402,110.3899836,0,Semarang Barat
96,Service HP Karangkidul,-6.990197,110.424346,0,Semarang Tengah
97,7cell,-6.9769896,110.4040377,0,Semarang Utara
98,Service Iphone Semarang - SSI,-6.9856775,110.4141247,0,Semarang Tengah
99,MFS Electronic service,-7.0804915,110.4121257,0,Banyumanik
100,Satria Jaya Tehnik,-7.0859685,110.4228447,0,Banyumanik
101,TopCompX,-7.0185417,110.3353783,0,Ngaliyan
102,VISLAP Cabang Tembalang,-7.0610803,110.4391116,0,Tembalang
103,Service Laptop Komputer dan Printer,-7.016783,110.483534,0,Pedurungan
104,Service Mesin Cuci Kipas Joko Bleduk,-6.988666,110.3931472,0,Semarang Barat
105,Service Mesin Cuci Tembalang,-7.0694224,110.4388562,0,Tembalang
106,Service Televisi,-6.9704445,110.4034276,0,Semarang Utara
107,DTV Elektronik,-6.9774288,110.4616959,0,Pedurungan
108,Boncez Part LED,-6.9959556,110.3642471,0,Ngaliyan
109,Service Tv LED Terbaik,-6.9703363,110.4026663,0,Semarang Utara
110,Diva Notebook,-7.0570317,110.3947655,0,Gunungpati
111,Servis Elektronik Podorejo,-7.0060793,110.3018302,0,Ngaliyan
112,Berdikari Elektronik Service,-7.0797891,110.4130065,0,Banyumanik
113,Servis Center Resmi Xiaomi Poco Infinix Tecno Itel,-6.982113,110.3940597,0,Semarang Barat
114,Servis Elektronik Bukit Kencana,-7.0688778,110.4594857,0,Tembalang
115,Servis Elektronik dan HP Krobokan,-6.9733077,110.398115,0,Semarang Barat
116,Servis Elektronik Bulusan,-7.0607734,110.4442279,0,Tembalang
117,Sinshe Phone,-7.0372195,110.4726117,0,Tembalang
118,Epsilon Delta,-7.0078577,110.4596457,0,Pedurungan
119,Servis Kipas Angin Berkah,-7.0074057,110.4276203,0,Candisari
120,Servis Kipas Pak Slamet,-6.9984874,110.3333324,0,Ngaliyan
121,Dzulfikar Solution,-7.0866084,110.426855,0,Banyumanik
122,Servis Komputer Gedawang,-7.0936802,110.4224777,0,Banyumanik
123,Dokter Komputer,-6.997851,110.382668,0,Semarang Barat
124,Servis Elektronik Ngesrep,-7.0354027,110.4314014,0,Banyumanik
125,Utama Teknik,-7.090909,110.4231062,0,Banyumanik
